s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 5.9678188E+001, 1.2500215E+001,-3.8360036E+000,-3.1968056E+000,-2.3995265E+000, 2.5628351E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0622126E+000, 3.0704419E+000, 6.5707755E-004, 6.5707755E-004
 5.9850922E+001, 1.2500045E+001,-3.8252933E+000,-3.2040144E+000,-2.4024532E+000, 2.5630999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0600409E+000, 3.0708475E+000, 6.5707755E-004, 6.5707755E-004
 6.0023655E+001, 1.2499957E+001,-3.8168517E+000,-3.2139331E+000,-2.4059201E+000, 2.5632244E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0591548E+000, 3.0658156E+000, 6.5707755E-004, 6.5707755E-004
 6.0196384E+001, 1.2499920E+001,-3.8098353E+000,-3.2262270E+000,-2.4094001E+000, 2.5632731E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0528333E+000, 3.0570206E+000, 6.5707755E-004, 6.5707755E-004
 6.0369118E+001, 1.2499875E+001,-3.8124774E+000,-3.2404445E+000,-2.4121247E+000, 2.5632855E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0433595E+000, 3.0373914E+000, 6.5707755E-004, 6.5707755E-004
 6.0541851E+001, 1.2499887E+001,-3.8252104E+000,-3.2562740E+000,-2.4142082E+000, 2.5633402E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0235498E+000, 3.0067578E+000, 6.5707755E-004, 6.5707755E-004
 6.0714584E+001, 1.2499945E+001,-3.3782458E+000,-3.2656170E+000,-2.4161133E+000, 2.5634637E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9928709E+000, 3.4425325E+000, 6.5707755E-004, 6.5707755E-004
 6.0887318E+001, 1.2499963E+001,-3.5665909E+000,-3.2873169E+000,-2.4198306E+000, 2.5636624E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4271288E+000, 3.2287887E+000, 6.5707755E-004, 6.5707755E-004
 6.1060047E+001, 1.2500065E+001,-3.6611540E+000,-3.3086989E+000,-2.4226056E+000, 2.5638738E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2134965E+000, 3.1101709E+000, 6.5707755E-004, 6.5707755E-004
 6.1232780E+001, 1.2500156E+001,-3.3178406E+000,-3.3239410E+000,-2.4253701E+000, 2.5639882E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0945970E+000, 3.4355678E+000, 6.5707755E-004, 6.5707755E-004
 6.1385471E+001, 1.2998504E+001,-4.5534665E+000,-3.3565352E+000,-2.4288709E+000, 2.5639706E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4190527E+000, 2.6621958E+000, 6.5707755E-004, 6.5707755E-004
